type;toi;x00;x10;x20;x30;x01;x11;x21;x31;x0r;x1r;x2r;x3r
PointTriangle;0.9425832;0.0997721329,0.0147623736,0.0047730030;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000138819,0.0144477552,0.0038815022;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000138819,0.0144477561,0.0038815022;0.1000016183,-0.2500021160,-0.2500059605;0.1000032425,0.2499957830,0.2499880493;0.1000048593,0.2499936819,-0.2500179112
PointTriangle;0.32075197;0.0999182612,0.0241278987,0.0045047067;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001731008,0.0244076531,0.0035199588;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001731008,0.0244076531,0.0035199588;0.1000202000,-0.2499778271,-0.2500780225;0.1000403911,0.2500443459,0.2498439252;0.1000605896,0.2500665188,-0.2502340972
PointTriangle;0.84699434;0.0998146087,0.0182200521,0.0039780000;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000334918,0.0180760510,0.0030624829;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000334918,0.0180760510,0.0030624829;0.1000039056,-0.2500025630,-0.2500163317;0.1000078171,0.2499948591,0.2499673218;0.1000117213,0.2499922812,-0.2500490248
PointTriangle;0.67133033;0.0998530686,0.0237517431,0.0191560350;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000719368,0.0237078238,0.0191367641;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000719368,0.0237078238,0.0191367641;0.1000083908,-0.2500016987,-0.2500007451;0.1000167876,0.2499966323,0.2499985248;0.1000251770,0.2499949485,-0.2500022054
PointTriangle;0.9596184;0.0999355540,0.0226835683,0.0249797907;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000027135,0.0227226987,0.0250492375;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000027135,0.0227226987,0.0250492375;0.1000003144,-0.2499998212,-0.2499996722;0.1000006348,-0.2499996275,0.2500006557;0.1000009477,0.2500005662,0.2500009835
PointTriangle;0.9973992;0.0999314263,0.0172656327,0.0182699393;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000001803,0.0172567405,0.0182275642;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000001803,0.0172567405,0.0182275642;0.1000000238,-0.2500000000,-0.2500000000;0.1000000462,-0.2500000000,0.2499999702;0.1000000611,0.2499999851,0.2499999553
PointTriangle;0.61224705;0.0998683721,0.0193649270,0.0361616649;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000833660,0.0193135180,0.0371129736;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000833660,0.0193135180,0.0371129736;0.1000097245,-0.2500023246,-0.2499569654;0.1000194550,-0.2500046492,0.2500860691;0.1000291780,0.2499930263,0.2501291037
PointTriangle;0.6056805;0.0998122022,0.0170252994,0.0359126814;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001222655,0.0168247614,0.0368671715;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001222655,0.0168247614,0.0368671715;0.1000142694,-0.2500092387,-0.2499560863;0.1000285298,-0.2500184476,0.2500878274;0.1000427902,0.2499723285,0.2501317263
PointTriangle;0.3350701;0.0999195054,0.0158561133,0.0355135165;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001597419,0.0156102721,0.0363242216;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001597419,0.0156102721,0.0363242216;0.1000186354,-0.2500190735,-0.2499371022;0.1000372767,-0.2500381470,0.2501257956;0.1000559106,0.2499427795,0.2501886785
PointTriangle;0.6127265;0.0999158472,0.0147038801,0.0350101069;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000531912,0.0144532006,0.0357210599;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000531912,0.0144532006,0.0357210599;0.1000062078,-0.2500113249,-0.2499678731;0.1000124142,-0.2500226498,0.2500642538;0.1000186205,0.2499660254,0.2500963807
